SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015
040,1,2,36,New York,19378087,19402920,19523202,19606981,19691032,19748858,19795791,24833,120282,83779,84051,57826,46933,0.1281499046,0.6199170022,0.4291253043,0.4286789486,0.2936666803,0.2376491846,3,3,3,3,3,4,4,4,4,7,5,11,15,34,29,31,32,36,36
040,3,5,37,North Carolina,9535692,9558979,9651025,9747021,9845432,9940387,10042802,23287,92046,95996,98411,94955,102415,0.2442088104,0.9629271076,0.9946715504,1.0096520773,0.9644574255,1.030291879,10,10,10,10,10,9,9,7,6,5,4,6,6,17,15,18,14,16,15
040,2,4,38,North Dakota,672591,674530,685326,702265,723626,740040,756927,1939,10796,16939,21361,16414,16887,0.2882881276,1.6005218448,2.4716704167,3.0417292617,2.2682988173,2.2819036809,48,48,48,48,48,47,47,42,37,24,23,27,25,7,3,1,1,1,1
040,2,3,39,Ohio,11536725,11540766,11545442,11551783,11572232,11596998,11613423,4041,4676,6341,20449,24766,16425,0.0350272716,0.0405172412,0.0549221069,0.177020292,0.2140123012,0.1416314808,7,7,7,7,7,7,7,31,44,45,24,22,26,47,48,48,41,39,41
040,3,7,40,Oklahoma,3751616,3759596,3786626,3817679,3853405,3879610,3911338,7980,27030,31053,35726,26205,31728,0.2127083369,0.7189602287,0.8200704268,0.9358041889,0.6800479057,0.8178141617,28,28,28,28,28,28,28,21,21,19,17,21,18,22,21,21,17,24,18
040,4,9,41,Oregon,3831073,3837972,3868509,3899444,3928030,3971202,4028977,6899,30537,30935,28586,43172,57775,0.1800800977,0.7956545801,0.799662092,0.7330788697,1.0990751089,1.4548491867,27,27,27,27,27,27,27,24,19,20,21,15,10,28,19,22,26,13,10
040,1,2,42,Pennsylvania,12702887,12712014,12745202,12772789,12783536,12793767,12802503,9127,33188,27587,10747,10231,8736,0.0718498086,0.261075861,0.2164500806,0.0841398069,0.0800326295,0.0682832507,6,6,6,6,6,6,6,19,18,22,36,36,38,43,41,43,48,45,43
040,1,1,44,Rhode Island,1052931,1053219,1051856,1052393,1052856,1054907,1056298,288,-1363,537,463,2051,1391,0.0273522197,-0.129412781,0.0510526156,0.0439949715,0.1948034679,0.1318599649,43,43,43,43,43,43,43,47,51,50,49,43,43,48,51,49,49,41,42
040,3,5,45,South Carolina,4625401,4635894,4672733,4721341,4768498,4829160,4896146,10493,36839,48608,47157,60662,66986,0.2268560066,0.7946471597,1.0402477522,0.9988052123,1.2721406195,1.3871149434,24,24,24,24,24,24,23,16,17,12,13,9,9,19,20,15,15,11,11
040,2,4,46,South Dakota,814191,816299,824289,834631,845270,853304,858469,2108,7990,10342,10639,8034,5165,0.258907308,0.9788080103,1.2546570438,1.2746950449,0.9504655317,0.6052942445,46,46,46,46,46,46,46,41,41,37,37,39,40,12,13,10,7,17,23
